DISTRICT_NAME,DISTRICT_CODE,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL
Springfield International Charter (District),04410000,25273676.35,1481.30,17061.71,25273676.35,1481.30,17061.71
Sherborn,02690000,8964068.00,414.50,21624.19,9975794.54,422.50,23609.17
Needham,01990000,131859100.70,5570.50,23670.80,141258053.00,5666.60,24928.34
Holliston,01360000,46206138.40,2740.70,16859.28,54683822.49,2861.40,19110.65
Northboro-Southboro,07300000,28851814.85,1193.40,24175.81,30743960.55,1227.70,25042.75
Petersham,02340000,2621686.00,133.80,19590.81,2772315.00,140.80,19686.63
Attleboro,00160000,109817146.40,6039.30,18183.84,118401168.80,6404.60,18486.93
Learning First Charter Public School (District),04860000,12587364.81,667.80,18849.00,12587364.81,667.80,18849.00
Holland,01350000,3691814.15,227.20,16251.17,4397863.32,234.40,18761.24
Rising Tide Charter Public (District),04830000,11065680.00,617.20,17929.13,11065680.00,617.20,17929.13
Sudbury,02880000,56005026.00,2547.70,21982.87,57646029.00,2578.70,22354.31
Triton,07730000,51640424.00,2113.30,24436.24,57570898.28,2312.30,24897.55
Whittier Regional Vocational Technical,08850000,32198204.00,1275.60,25241.61,32228572.00,1279.60,25186.44
Monson,01910000,18314922.00,807.80,22674.00,20772882.85,910.00,22827.26
Granby,01110000,13090942.79,695.40,18824.75,15325431.51,781.30,19616.19
Lawrence,01490000,313010435.60,13351.50,23443.90,364032614.60,15499.60,23486.62
Christa Mcauliffe Charter School (District),04180000,6699895.00,290.60,23053.01,6699895.00,290.60,23053.01
Leicester,01510000,25072178.09,1297.10,19329.08,30642641.37,1497.30,20464.61
Mendon-Upton,07100000,42141747.00,2073.50,20324.13,46192266.18,2161.00,21375.71
Nashoba Valley Regional Vocational Technical,08520000,18306030.93,760.20,24079.84,18313603.55,761.60,24045.84
Georgetown,01050000,23744864.00,1257.40,18884.35,26341120.22,1311.20,20089.97
Lowell,01600000,322474271.90,14517.80,22212.37,378397226.80,17133.90,22084.74
Everett,00930000,155574402.00,7416.10,20977.83,180693040.80,8302.00,21764.93
Ware,03090000,22296705.47,1095.80,20347.73,25455128.11,1309.70,19436.18
Hampshire,06830000,15349671.41,685.00,22407.01,17839977.19,770.50,23152.36
