District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Central Berkshire,06350000,ELA,         321,46,          63,9,         258,37,         270,39,         108,15,         699,98,     497,          52,         560
Central Berkshire,06350000,MATH,         304,43,          50,7,         254,36,         303,43,          94,13,         701,98,     497,          54,         562
Central Berkshire,06350000,SCI,         122,48,          17,7,         105,41,         102,40,          30,12,         254,99,     497,,
Chelmsford,00560000,ELA,"       1,354",57,         281,12,"       1,073",45,         762,32,         256,11,"       2,372",99,     503,          54,"       1,892"
Chelmsford,00560000,MATH,"       1,209",51,         285,12,         924,39,         912,38,         256,11,"       2,377",99,     501,          48,"       1,899"
Chelmsford,00560000,SCI,         462,60,         104,13,         358,46,         246,32,          68,9,         776,99,     504,,
Chelsea,00570000,ELA,         458,18,          27,1,         431,17,"       1,080",43,         980,39,"       2,518",99,     478,          49,"       1,828"
Chelsea,00570000,MATH,         506,20,          74,3,         432,17,"       1,077",43,         935,37,"       2,518",99,     481,          42,"       1,842"
Chelsea,00570000,SCI,         107,14,           8,1,          99,13,         378,48,         303,38,         788,99,     477,,
Chesterfield-Goshen,06320000,ELA,          27,40,           0,0,          27,40,          30,45,          10,15,          67,99,     493,          57,          43
Chesterfield-Goshen,06320000,MATH,          34,51,           5,7,          29,43,          27,40,           6,9,          67,99,     499,          62,          43
Chesterfield-Goshen,06320000,SCI,           8,50,           3,19,           5,31,           5,31,           3,19,          16,94,     500,,
Chicopee,00610000,ELA,         774,27,          69,2,         705,24,"       1,395",48,         726,25,"       2,895",99,     486,          46,"       2,218"
Chicopee,00610000,MATH,         774,27,          65,2,         709,25,"       1,441",50,         673,23,"       2,888",99,     487,          48,"       2,225"
Chicopee,00610000,SCI,         298,29,          28,3,         270,26,         465,45,         263,26,"       1,026",99,     487,,
Christa McAuliffe Charter School (District),04180000,ELA,         107,39,          35,13,          72,26,         104,38,          63,23,         274,99,     494,          61,         251
Christa McAuliffe Charter School (District),04180000,MATH,          64,23,           8,3,          56,20,         146,53,          65,24,         275,99,     485,          55,         254
Christa McAuliffe Charter School (District),04180000,SCI,          26,28,           3,3,          23,25,          46,50,          20,22,          92,98,     487,,
Clarksburg,00630000,ELA,          39,29,           1,1,          38,28,          77,57,          18,13,         134,100,     490,          42,         103
Clarksburg,00630000,MATH,          32,24,           2,1,          30,22,          84,63,          18,13,         134,100,     489,          38,         103
Clarksburg,00630000,SCI,          11,29,           0,0,          11,29,          23,61,           4,11,          38,100,     491,,
Clinton,00640000,ELA,         256,30,          13,2,         243,28,         383,45,         221,26,         860,98,     486,          46,         659
Clinton,00640000,MATH,         278,32,          39,4,         239,27,         409,47,         183,21,         870,99,     490,          46,         675
Clinton,00640000,SCI,          65,23,           6,2,          59,21,         142,50,          78,27,         285,100,     483,,
Codman Academy Charter Public (District),04380000,ELA,          15,12,           0,0,          15,12,          69,54,          44,34,         128,98,     477,          46,         103
Codman Academy Charter Public (District),04380000,MATH,           7,5,           0,0,           7,5,          61,47,          61,47,         129,99,     472,          33,         104
Codman Academy Charter Public (District),04380000,SCI,           0,0,           0,0,           0,0,          19,53,          17,47,          36,92,     469,,
Cohasset,00650000,ELA,         471,73,         132,20,         339,52,         140,22,          37,6,         648,100,     511,          62,         497
Cohasset,00650000,MATH,         445,69,          79,12,         366,56,         162,25,          41,6,         648,100,     509,          55,         499
Cohasset,00650000,SCI,         128,61,          16,8,         112,53,          67,32,          16,8,         211,100,     504,,
Collegiate Charter School of Lowell (District),35030000,ELA,         168,27,          26,4,         142,23,         305,48,         158,25,         631,99,     486,          53,         508
Collegiate Charter School of Lowell (District),35030000,MATH,         126,20,          15,2,         111,18,         348,55,         160,25,         634,100,     483,          44,         510
Collegiate Charter School of Lowell (District),35030000,SCI,          45,22,           6,3,          39,19,          97,47,          64,31,         206,100,     481,,
Community Charter School of Cambridge (District),04360000,ELA,          73,57,          19,15,          54,42,          42,33,          14,11,         129,98,     502,          49,         121
Community Charter School of Cambridge (District),04360000,MATH,          59,47,           7,6,          52,41,          57,45,          10,8,         126,98,     499,          47,         119
Community Charter School of Cambridge (District),04360000,SCI,          16,33,           4,8,          12,24,          27,55,           6,12,          49,100,     494,,
Community Day Charter Public School (District),04400000,ELA,         296,43,          32,5,         264,38,         290,42,         103,15,         689,100,     494,          53,         564
Community Day Charter Public School (District),04400000,MATH,         333,48,          47,7,         286,41,         282,41,          75,11,         690,100,     499,          51,         565
Community Day Charter Public School (District),04400000,SCI,          98,43,          11,5,          87,38,          91,40,          41,18,         230,100,     493,,
Concord,00670000,ELA,         936,73,         277,22,         659,52,         267,21,          76,6,"       1,279",99,     512,          55,"       1,016"
Concord,00670000,MATH,         879,69,         199,16,         680,53,         318,25,          84,7,"       1,281",99,     509,          49,"       1,020"
Concord,00670000,SCI,         322,76,          86,20,         236,56,          76,18,          25,6,         423,99,     512,,
Conservatory Lab Charter (District),04390000,ELA,          95,38,          13,5,          82,33,         120,48,          36,14,         251,100,     494,          51,         199
Conservatory Lab Charter (District),04390000,MATH,          76,30,          11,4,          65,26,         131,52,          45,18,         252,100,     490,          58,         199
Conservatory Lab Charter (District),04390000,SCI,          18,24,           2,3,          16,21,          41,55,          16,21,          75,99,     485,,
Conway,00680000,ELA,          52,66,           5,6,          47,59,          24,30,           3,4,          79,98,     505,          57,          60
Conway,00680000,MATH,          46,58,           5,6,          41,52,          32,41,           1,1,          79,98,     504,          56,          60
Conway,00680000,SCI,          15,60,           2,8,          13,52,           9,36,           1,4,          25,100,     505,,
Danvers,00710000,ELA,         570,37,          51,3,         519,33,         690,44,         301,19,"       1,561",98,     491,          42,"       1,231"
Danvers,00710000,MATH,         587,38,          78,5,         509,33,         725,47,         243,16,"       1,555",98,     494,          43,"       1,226"
Danvers,00710000,SCI,         208,41,          21,4,         187,37,         206,40,          97,19,         511,97,     492,,
Dartmouth,00720000,ELA,         826,51,         120,7,         706,44,         597,37,         182,11,"       1,605",99,     500,          52,"       1,262"
Dartmouth,00720000,MATH,         870,54,         132,8,         738,46,         589,37,         138,9,"       1,597",98,     502,          53,"       1,257"
Dartmouth,00720000,SCI,         242,45,          31,6,         211,40,         223,42,          69,13,         534,98,     496,,
Dedham,00730000,ELA,         546,45,          74,6,         472,39,         515,42,         158,13,"       1,219",99,     496,          49,         926
Dedham,00730000,MATH,         562,46,          92,8,         470,38,         512,42,         149,12,"       1,223",99,     499,          55,         930
